Timestamp,Event
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 10880)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 11052)
2025-04-02 21:32:38,Suspicious process detected: msedgewebview2.exe (PID: 11092)
2025-04-02 21:32:38,Suspicious process detected: RtkAudUService64.exe (PID: 11104)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 11212)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 11220)
2025-04-02 21:32:38,Suspicious process detected: WindowsTerminal.exe (PID: 11296)
2025-04-02 21:32:38,Suspicious process detected: RuntimeBroker.exe (PID: 11344)
2025-04-02 21:32:38,Suspicious process detected: RuntimeBroker.exe (PID: 11524)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 11688)
2025-04-02 21:32:38,Suspicious process detected: WidgetService.exe (PID: 11944)
2025-04-02 21:32:38,Suspicious process detected: conhost.exe (PID: 12088)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 12120)
2025-04-02 21:32:38,Suspicious process detected: SearchHost.exe (PID: 12180)
2025-04-02 21:32:38,Suspicious process detected: StartMenuExperienceHost.exe (PID: 12204)
2025-04-02 21:32:38,Suspicious process detected: msedgewebview2.exe (PID: 12228)
2025-04-02 21:32:38,Suspicious process detected: OpenConsole.exe (PID: 12376)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 12380)
2025-04-02 21:32:38,Suspicious process detected: svchost.exe (PID: 12476)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 12664)
2025-04-02 21:32:38,Suspicious process detected: dllhost.exe (PID: 13040)
2025-04-02 21:32:38,Suspicious process detected: chrome.exe (PID: 13056)
2025-04-02 21:32:38,Suspicious process detected: SearchProtocolHost.exe (PID: 13192)
2025-04-02 21:32:38,Suspicious process detected: SearchIndexer.exe (PID: 13316)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 13392)
2025-04-02 21:32:38,Suspicious process detected: brave.exe (PID: 13412)
2025-04-02 21:32:39,Suspicious process detected: python.exe (PID: 13508)
2025-04-02 21:32:39,Suspicious process detected: wpscloudsvr.exe (PID: 13512)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 13548)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 13624)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 13664)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 13816)
2025-04-02 21:32:39,Suspicious process detected: RuntimeBroker.exe (PID: 13864)
2025-04-02 21:32:39,Suspicious process detected: msedgewebview2.exe (PID: 13924)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 13996)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 14008)
2025-04-02 21:32:39,Suspicious process detected: RuntimeBroker.exe (PID: 14048)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 14276)
2025-04-02 21:32:39,Suspicious process detected: RuntimeBroker.exe (PID: 14444)
2025-04-02 21:32:39,Suspicious process detected: NisSrv.exe (PID: 14496)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 14516)
2025-04-02 21:32:39,Suspicious process detected: Code.exe (PID: 14568)
2025-04-02 21:32:39,Suspicious process detected: SearchFilterHost.exe (PID: 14584)
2025-04-02 21:32:39,Suspicious process detected: AdskAccessService.exe (PID: 14592)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 14624)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 14664)
2025-04-02 21:32:39,Suspicious process detected: igfxEMN.exe (PID: 14668)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 14768)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 14888)
2025-04-02 21:32:39,Suspicious process detected: sihost.exe (PID: 14896)
2025-04-02 21:32:39,Suspicious process detected: msedgewebview2.exe (PID: 14912)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 15004)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 15060)
2025-04-02 21:32:39,Suspicious process detected: OneDrive.exe (PID: 15136)
2025-04-02 21:32:39,Suspicious process detected: DesktopExtension.exe (PID: 15368)
2025-04-02 21:32:39,Suspicious process detected: HP.myHP.exe (PID: 15452)
2025-04-02 21:32:39,Suspicious process detected: RuntimeBroker.exe (PID: 15512)
2025-04-02 21:32:39,Suspicious process detected: TextInputHost.exe (PID: 15608)
2025-04-02 21:32:39,Suspicious process detected: HPAudioAnalytics.exe (PID: 15760)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 15912)
2025-04-02 21:32:39,Suspicious process detected: chrome.exe (PID: 16064)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 16268)
2025-04-02 21:32:39,Suspicious process detected: RtkAudUService64.exe (PID: 16280)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 16292)
2025-04-02 21:32:39,Suspicious process detected: LocationNotificationWindows.exe (PID: 16372)
2025-04-02 21:32:39,Suspicious process detected: msedgewebview2.exe (PID: 16612)
2025-04-02 21:32:39,Suspicious process detected: RuntimeBroker.exe (PID: 16636)
2025-04-02 21:32:39,Suspicious process detected: LocationNotificationWindows.exe (PID: 16652)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.AdvancedPaste.exe (PID: 16716)
2025-04-02 21:32:39,Suspicious process detected: conhost.exe (PID: 16824)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.AlwaysOnTop.exe (PID: 16920)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.Awake.exe (PID: 16940)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.ColorPickerUI.exe (PID: 16964)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.CropAndLock.exe (PID: 16992)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.FancyZones.exe (PID: 17044)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.Peek.UI.exe (PID: 17092)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.PowerLauncher.exe (PID: 17188)
2025-04-02 21:32:39,Suspicious process detected: PowerToys.PowerOCR.exe (PID: 17236)
2025-04-02 21:32:39,Suspicious process detected: msedgewebview2.exe (PID: 17744)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 17832)
2025-04-02 21:32:39,Suspicious process detected: powershell.exe (PID: 17856)
2025-04-02 21:32:39,Suspicious process detected: msedgewebview2.exe (PID: 17960)
2025-04-02 21:32:39,Suspicious process detected: msedgewebview2.exe (PID: 18084)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 18172)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 18472)
2025-04-02 21:32:39,Suspicious process detected: taskhostw.exe (PID: 18612)
2025-04-02 21:32:39,Suspicious process detected: ApplicationFrameHost.exe (PID: 18856)
2025-04-02 21:32:39,Suspicious process detected: SystemSettings.exe (PID: 18864)
2025-04-02 21:32:39,Suspicious process detected: LockApp.exe (PID: 18900)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 19068)
2025-04-02 21:32:39,Suspicious process detected: conhost.exe (PID: 19120)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 19312)
2025-04-02 21:32:39,Suspicious process detected: svchost.exe (PID: 19316)
2025-04-02 21:32:39,Suspicious process detected: brave.exe (PID: 19436)
2025-04-02 21:32:39,Suspicious process detected: conhost.exe (PID: 19564)
2025-04-02 21:32:39,Suspicious process detected: Code.exe (PID: 19808)
2025-04-02 21:32:39,Suspicious process detected: powershell.exe (PID: 19880)
2025-04-02 21:32:39,Suspicious process detected: python.exe (PID: 19940)
2025-04-02 21:32:39,Suspicious process detected: audiodg.exe (PID: 20068)
2025-04-02 21:32:39,Suspicious process detected: Code.exe (PID: 20100)
2025-04-02 21:32:39,Suspicious process detected: TiWorker.exe (PID: 20120)
2025-04-02 21:32:39,Suspicious process detected: conhost.exe (PID: 20476)
2025-04-02 21:32:39,Suspicious process detected: chrome.exe (PID: 20584)
2025-04-02 21:32:39,Suspicious process detected: Code.exe (PID: 20700)
2025-04-02 21:32:39,Suspicious process detected: Code.exe (PID: 20836)
2025-04-02 21:32:39,Suspicious process detected: chrome.exe (PID: 20864)
2025-04-02 21:32:39,Suspicious process detected: TrustedInstaller.exe (PID: 20928)
2025-04-02 21:32:39,Suspicious process detected: conhost.exe (PID: 21432)
